category,code,created_at,is_published,item_name,item_name_zh,label,made_in,material,price
"[""トップス"",""シャツ/ブラウス""]",A2113FB_104,2021-08-06T19:06:33.667Z,true,オリジナルチェックブラウス,原创格子衬衫,PINK HOUSE,フィリピン,,39600
"[""トップス"",""シャツ/ブラウス""]",A2113FB_109,2021-08-06T19:06:30.724Z,true,ローンフリルブラウス,孤独的荷叶边上衣,PINK HOUSE,ベトナム,（表地）綿100% （レース部分）ナイロン100%,47300
"[""トップス"",""ベスト""]",A2113FV_108,2021-08-06T19:05:30.207Z,true,スターチュールベスト,星形薄纱马甲,PINK HOUSE,ベトナム,表地：綿100%,68200
"[""トップス"",""カーディガン/ボレロ""]",A2113KCD116,2021-08-06T19:05:16.519Z,true,レースフリルカーディガン,蕾丝荷叶边开衫,PINK HOUSE,中国,,20900
"[""トップス"",""Tシャツ/カットソー""]",A2113UPO113,2021-08-06T19:04:17.151Z,true,スターチュール使いカットソー,星形薄纱的剪裁和缝制,PINK HOUSE,日本,表地：綿100%,23100
"[""ワンピース/ドレス"",""チュニック""]",A2113FBY067,2021-08-06T19:06:13.414Z,true,ダンガリーチュニックブラウス,敦煌网的外衣上衣,PINK HOUSE,フィリピン,綿100％,25300
"[""トップス"",""Tシャツ/カットソー""]",A2113UTS071,2021-08-06T19:04:10.801Z,true,リリープリントカットソー,莉莉印花的剪裁和缝制,PINK HOUSE,日本,綿100％,13200
"[""トップス"",""キャミソール""]",A2113UCS072,2021-08-06T19:04:19.130Z,true,ベルオーガンフリル使いキャミソール,贝尔风琴荷叶边吊带衫,PINK HOUSE,日本,綿100％,24200
"[""トップス"",""シャツ/ブラウス""]",A2113FB_008,2021-08-06T19:06:46.486Z,true,鈴蘭レース使いシフォンブラウス,铃兰花蕾丝雪纺衫,PINK HOUSE,ベトナム,（表地）綿54% ポリエステル46%（レース部分）ナイロン80% 綿20% 　インナー：綿100%,29700
"[""トップス"",""タンクトップ""]",A2113UCS019,2021-08-06T19:04:20.932Z,true,フリル使いノースリーブカットソー,无袖流苏剪裁和缝制,PINK HOUSE,日本,綿100％,20900
"[""ワンピース/ドレス"",""チュニック""]",A2111UBY592,2021-07-16T11:27:10.123Z,true,ネームワッペン使いチュニックカットソー,裁剪和缝制的外衣上有姓名徽章,PINK HOUSE,日本,,11000
"[""トップス"",""カーディガン/ボレロ""]",A2111KCD570,2021-08-06T19:08:41.210Z,true,ひまわりモチーフカーディガン,向日葵图案的开衫,PINK HOUSE,中国,麻55% 綿45% （モチーフ）綿60% アクリル40%,37400
"[""ワンピース/ドレス"",""チュニック""]",A2111FBY501,2021-08-06T19:09:08.271Z,true,エンジェルローズプリントチュニック,天使玫瑰印花外衣,PINK HOUSE,フィリピン,綿100%　（レース刺繍）表糸：レーヨン100% 裏糸：綿100%,52800
"[""トップス"",""カーディガン/ボレロ""]",A2111KCD516,2021-08-06T19:08:43.333Z,true,ローズフリルカーディガン,玫瑰荷叶边开衫,PINK HOUSE,中国,アクリル45% 綿34% ナイロン21%,39600
"[""トップス"",""Tシャツ/カットソー""]",A2111UTS517,2021-08-06T19:07:49.959Z,true,エンジェルローズ刺繍カットソー,天使玫瑰刺绣的剪裁和缝纫,PINK HOUSE,日本,綿100%,20900
"[""ワンピース/ドレス"",""チュニック""]",A2111FBY301,2021-08-06T19:10:31.786Z,true,野ばらギンガムプリントチュニック,野生玫瑰格子印花长衫,PINK HOUSE,フィリピン,綿100%,35200
"[""トップス"",""カーディガン/ボレロ""]",A2111UCD075,2021-08-06T19:11:04.883Z,true,ウーリーチュールフリルスムースカーディガン,羊毛薄纱荷叶边光滑开衫,PINK HOUSE,日本,,28600
"[""トップス"",""シャツ/ブラウス""]",A2111FB_004,2021-08-06T19:11:59.410Z,true,ギンガムパッチワークブラウス,格子布拼接上衣,PINK HOUSE,ベトナム,,30800
"[""トップス"",""カーディガン/ボレロ""]",A2111KCD016,2021-08-06T19:02:18.415Z,true,雛菊とさくらんぼモチーフカーディガン,菊花和樱花图案的开衫,PINK HOUSE,中国,綿60% アクリル40% （モチーフ）綿100%,42900
"[""トップス"",""シャツ/ブラウス""]",A2103FB_510,2021-08-06T19:12:31.767Z,true,リボンタイ付きブラウス,带丝带领带的上衣,PINK HOUSE,ベトナム,,24200
"[""トップス"",""ベスト""]",A2103FV_512,2021-08-06T19:12:25.504Z,true,燕尾風ベスト,带尾巴的马甲,PINK HOUSE,ベトナム,綿100%,37400
"[""トップス"",""シャツ/ブラウス""]",A2101FB_130,2021-08-06T19:13:12.061Z,true,ローンフリルオーバーブラウス,孤独的荷叶边罩衫,PINK HOUSE,ベトナム,,37400
"[""ワンピース/ドレス"",""チュニック""]",A2111UBY593,,true,顔くまプリントカノコチュニック,脸部小熊印花坎诺克外衣,PINK HOUSE,日本,,16500
