created_at,customer_id,id,item_code_ext,location,note,order_datetime,order_id,rate,shipment_id,status,update_at
2022-01-07T14:58:18.472Z,eliad草纸,pCCAm3wjRICL517kwU+FcA==,A2121PAC03091,jp,wb两只不爱晒太阳的喵,2021-12-31T14:55:00.000Z,2lLEDhG0Tcqfi/tUB0S9gA==,1,0kh0cfsCRPSuJ+/nXcp/ng==,shipped,2022-01-19T09:39:52.707Z
2022-01-07T15:00:11.286Z,刘晓艳韩蕾,/5oUggALRk+eoV0UoEwWSA==,A2111PE_55091,jp,,2022-01-01T05:00:00.000Z,VhCWXmcpQnKbFtH5imuIRg==,1,riu1BJueT8KnxCkTN1N/9w==,shipped,2022-01-17T08:54:26.091Z
2022-01-07T15:00:41.340Z,murasaki46,1OTubiVbQ6u7mh7edBt8Tw==,A2113FS_24392,jp,,2021-12-17T05:00:00.000Z,wgz97sWBTPeSm0Bl6Fa7xQ==,1,zXO8amstQkO6nkaL6HnShQ==,shipped,2022-01-12T04:53:34.981Z
2022-01-07T15:03:58.111Z,陈潇潇1026,Ko7L7nJ6RW6EYDBU81BXZw==,A2121PAC03092,jp,,2022-01-01T05:00:00.000Z,VLxuS/4qREWGiyx+lP50kg==,1,PXsqHo5ITwC3gSX391lF9w==,shipped,2022-01-13T14:24:27.653Z
2022-01-07T15:08:26.359Z,livingday,ZhRcoGHlSPuPQW52jUVJrw==,A2321UCD01031,jp,,2022-01-01T05:00:00.000Z,9gbTxsyhSbymybOSf8KGug==,1,PXsqHo5ITwC3gSX391lF9w==,shipped,2022-01-13T14:24:27.613Z
2022-01-07T15:08:26.440Z,livingday,cd1rYT4GQp6GukvbsnaU3A==,A2113UCD22144,jp,,2022-01-01T05:00:00.000Z,9gbTxsyhSbymybOSf8KGug==,0.6,wMnXm53YR9GtWJZPC6koCA==,shipped,2022-01-07T16:21:19.099Z
2022-01-07T15:12:38.754Z,thinine,cLVY0TYrSNOHfeZdS2RYhA==,A2121FA_01093,jp,,2022-01-02T15:09:00.000Z,B0A1o19LRQ2Z5oYXRFS7GA==,1,U7TyUZA1RhS18qf4h7tzgQ==,shipped,2022-01-08T06:37:34.005Z
2022-01-07T15:13:34.490Z,空与夜的旅人,s/aN+JlBTq2i1tJc5E6g2w==,A2113KCD57292,jp,送台历,2022-01-02T15:09:00.000Z,Qba0GC0PQVORNg7/vNginQ==,1,wkKP+DmMTMSd5JbZWZk5hw==,shipped,2022-01-27T06:25:30.537Z
2022-01-07T15:22:11.597Z,千鹤子_tb,aNhR0IHXTZeceNNEXAG6nA==,A2121UCD07343,jp,,2022-01-03T15:21:00.000Z,gtqHO+qbRqSC/FFcjMIpGg==,1,NusSqkPYQ2i7pF/nEie74Q==,shipped,2022-01-14T02:20:48.391Z
2022-01-07T15:26:16.322Z,岚烬洛,WTSkd+WOSCqmdBICAwI36g==,A2321UCD01031,jp,,2022-01-06T15:21:00.000Z,WGFYgLhbRsWEnH6HeVkyQw==,1,riu1BJueT8KnxCkTN1N/9w==,shipped,2022-01-17T08:54:26.007Z
2022-01-07T15:27:03.769Z,ruqirenweicen2,x3TdREk1TsqhfoqCry9qJQ==,A2113FS_46591,jp,,2022-01-06T15:21:00.000Z,Tv10PzkXRsaDLsxkb868vg==,0.7,wMnXm53YR9GtWJZPC6koCA==,shipped,2022-01-07T16:21:18.886Z
2022-01-07T15:29:11.746Z,ruqirenweicen2,RVllSkxLRxSAAAu0kPkYDA==,A2121PAC03093,jp,,2022-01-06T15:21:00.000Z,nmiBaf0kTz6S5s/eOr4OoA==,1,PXsqHo5ITwC3gSX391lF9w==,shipped,2022-01-13T14:24:27.529Z
2022-01-07T16:03:17.358Z,陈大豆0417,QORnzRMQRgOPFulR+iOW1g==,A2113UCD22143,jp,,2022-01-01T16:01:00.000Z,psOK1PZbS66+HcjizlECrA==,0.6,ycidTZ+sS1OMA36ZOu382Q==,shipped,2022-01-07T16:28:05.973Z
2022-01-07T16:07:05.559Z,meteoryq001,Crid+olqRDuZDFvK9WzY3g==,A2113FB_30994,jp,,2022-01-07T16:06:00.000Z,KluGTXvtS/mHdNwbhl2sug==,1,wMnXm53YR9GtWJZPC6koCA==,shipped,2022-01-07T16:21:18.935Z
2022-01-08T05:11:42.094Z,foreverpeanuts,w2kwY6PeRR+o5h1lGFn6dA==,A2121FB_00894,jp,,2021-12-19T05:10:00.000Z,HqPb+gkHQSqos0VyhZ0Hxw==,1,PXsqHo5ITwC3gSX391lF9w==,shipped,2022-01-13T14:24:27.852Z
2022-01-08T05:12:23.137Z,hatterkee,nbc8RvdDTeO+9JWv1DhoHg==,A2121FB_00894,jp,,2021-12-21T05:10:00.000Z,bi6DoF05QFyi8dFfUaWjkg==,1,null,concealed,2022-02-03T13:59:27.065Z
